***********************************************************************
Component:tools-test
---------------------------------------------------------------------->
Case-001:tools-glibc-Sanity-basic-linking-sanity is running
00:35:17 PASS | Creating tmp directory success
00:35:17 PASS | Running 'cp lc.c  lc.golden  lm.c  lm.golden  lpthread.c  lpthread.golden  lrt.c  lrt.golden /tmp/tmp.T9FSrrW6G2' success
00:35:17 PASS | Running 'pushd /tmp/tmp.T9FSrrW6G2' success
00:35:17 INFO | Compiling
00:35:18 PASS | Testing for -lc linkage success
00:35:18 PASS | Testing for -lm linkage success
00:35:18 PASS | Testing for -lrt linkage success
00:35:18 PASS | Testing for -lpthread linkage success
00:35:18 PASS | Running 'popd' success
00:35:18 PASS | Removing tmp directory success
00:35:18 INFO | test  finish
